sample_id,LOC,SITE,TRAN,YEAR,AGE,TREAT,total_reads,total_asvs,coverage
PG_S71_T238_Y4_NEW_CTL,PG,S71,T238,Y4,NEW,CTL,113599,1985,extra_high (> 100k)
PG_S71_T239_Y0_NEW_P,PG,S71,T239,Y0,NEW,P,147313,1678,extra_high (> 100k)
PG_S71_T239_Y1_NEW_P,PG,S71,T239,Y1,NEW,P,118269,2199,extra_high (> 100k)
PG_S71_T239_Y4_NEW_P,PG,S71,T239,Y4,NEW,P,137655,2314,extra_high (> 100k)
PL_S72_T246_Y0_NEW_N,PL,S72,T246,Y0,NEW,N,184336,2006,extra_high (> 100k)
PL_S72_T246_Y1_NEW_N,PL,S72,T246,Y1,NEW,N,102599,1996,extra_high (> 100k)
PL_S72_T246_Y4_NEW_N,PL,S72,T246,Y4,NEW,N,151524,2236,extra_high (> 100k)
PL_S72_T247_Y0_NEW_P,PL,S72,T247,Y0,NEW,P,132609,1481,extra_high (> 100k)
PL_S72_T247_Y1_NEW_P,PL,S72,T247,Y1,NEW,P,48311,1353,high (25-100k)
PL_S72_T247_Y4_NEW_P,PL,S72,T247,Y4,NEW,P,94565,2000,high (25-100k)
PL_S72_T248_Y0_NEW_NP,PL,S72,T248,Y0,NEW,NP,135943,1296,extra_high (> 100k)
PL_S72_T248_Y4_NEW_NP,PL,S72,T248,Y4,NEW,NP,128057,2562,extra_high (> 100k)
PL_S72_T249_Y0_NEW_CTL,PL,S72,T249,Y0,NEW,CTL,262290,2357,extra_high (> 100k)
PL_S72_T249_Y4_NEW_CTL,PL,S72,T249,Y4,NEW,CTL,105580,2195,extra_high (> 100k)
